filename,worker,CT spam,manual spam,workerCosine,workerDisagreement,sounds,keywordsPerSound,wordsPerSound,charPerSound,wordsPerKeyword,charPerKeyword,charPerWord
1-1-99-f669064.csv,29611985,0,0,0.627,0.708,29,1.448,1.621,10.207,1.119,7.048,6.298
1-1-99-f669064.csv,18540373,0,0,0.784,0.785,30,1.4,2.067,12.133,1.476,8.667,5.871
1-1-99-f669064.csv,23583649,0,0,0.797,0.781,30,1.033,1.7,10.133,1.645,9.806,5.961
1-1-99-f669064.csv,25358052,0,0,0.723,0.784,30,1.867,2.4,14.633,1.286,7.839,6.097
1-1-99-f669064.csv,30605795,0,0,0.872,0.842,12,1.0,1.333,6.083,1.333,6.083,4.563
1-1-99-f669064.csv,6413571,0,0,0.939,0.867,3,1.0,2.667,16.0,2.667,16.0,6.0
1-1-99-f669064.csv,1924522,0,0,0.706,0.739,30,1.0,1.5,8.9,1.5,8.9,5.933
1-1-99-f669064.csv,15852781,0,0,0.818,0.808,9,1.667,3.222,22.556,1.933,13.533,7.0
1-1-99-f669064.csv,17472630,0,0,0.872,0.835,12,1.75,2.5,15.0,1.429,8.571,6.0
1-1-99-f669064.csv,21832559,0,0,0.74,0.776,12,1.583,2.75,16.917,1.737,10.684,6.152
1-1-99-f669064.csv,18960682,0,0,0.827,0.814,9,2.222,2.556,16.111,1.15,7.25,6.304
1-1-99-f669064.csv,30130222,0,0,0.596,0.707,7,2.143,3.143,16.571,1.467,7.733,5.273
1-1-99-f669064.csv,20379980,0,0,0.674,0.748,30,1.833,2.267,14.167,1.236,7.727,6.25
1-1-99-f669064.csv,29025907,0,0,0.709,0.752,16,1.75,3.438,20.375,1.964,11.643,5.927
1-1-99-f669064.csv,30505882,0,0,0.77,0.77,30,1.067,1.533,8.867,1.438,8.313,5.783
1-1-99-f669064.csv,11295497,0,0,0.658,0.689,29,1.0,1.276,7.862,1.276,7.862,6.162
1-1-99-f669064.csv,19602039,0,0,0.707,0.755,10,2.1,2.8,15.3,1.333,7.286,5.464
1-1-99-f669064.csv,30544555,0,0,0.832,0.813,15,2.0,2.067,10.533,1.033,5.267,5.097
1-1-99-f669064.csv,30983236,0,0,0.802,0.813,15,2.0,3.6,23.133,1.8,11.567,6.426
1-1-99-f669064.csv,10032240,0,0,0.927,0.879,6,1.5,1.5,8.167,1.0,5.444,5.444
1-1-99-f669064.csv,25111984,0,0,0.754,0.785,30,3.033,3.8,23.767,1.253,7.835,6.254
1-1-99-f669064.csv,3262732,0,1,0.776,0.78,30,1.0,1.233,6.633,1.233,6.633,5.378
1-1-99-f669064.csv,25990856,0,0,0.75,0.832,3,1.0,3.0,14.333,3.0,14.333,4.778
1-1-99-f669064.csv,6574449,0,1,0.921,0.862,30,1.0,1.1,4.567,1.1,4.567,4.152
1-1-99-f669064.csv,14848125,0,0,1.0,0.9,3,2.333,2.333,16.0,1.0,6.857,6.857
1-1-99-f669064.csv,25523588,0,0,0.664,0.653,3,1.667,2.0,12.0,1.2,7.2,6.0
1-1-99-f669064.csv,26282983,0,0,0.735,0.761,10,1.3,2.3,12.1,1.769,9.308,5.261
1-1-99-f669064.csv,18571337,0,0,0.731,0.766,30,1.267,1.633,9.267,1.289,7.316,5.673
1-1-99-f669064.csv,6340330,0,0,0.513,0.595,5,3.0,3.2,19.0,1.067,6.333,5.938
1-1-99-f669064.csv,11382239,0,0,0.734,0.761,7,1.286,1.429,8.143,1.111,6.333,5.7
1-1-99-f669064.csv,18836689,0,0,0.814,0.85,1,1.0,1.0,4.0,1.0,4.0,4.0
1-1-99-f669064.csv,573245,0,0,0.646,0.717,12,1.0,1.167,6.667,1.167,6.667,5.714
1-1-99-f669064.csv,28307063,0,0,0.723,0.742,15,1.8,3.8,23.067,2.111,12.815,6.07
1-1-99-f669064.csv,14353703,0,0,0.594,0.675,15,2.533,2.8,15.733,1.105,6.211,5.619
1-1-99-f669064.csv,19068162,0,0,0.749,0.764,30,2.933,3.333,21.7,1.136,7.398,6.51
1-1-99-f669064.csv,20602057,0,0,0.784,0.811,30,1.067,1.233,6.9,1.156,6.469,5.595
1-1-99-f669064.csv,6362702,0,0,0.771,0.786,12,1.167,1.417,8.5,1.214,7.286,6.0
1-1-99-f669064.csv,13763729,0,0,0.737,0.763,29,2.621,2.759,15.241,1.053,5.816,5.525
1-1-99-f669064.csv,18720630,0,0,0.626,0.675,9,2.111,2.667,15.111,1.263,7.158,5.667
1-1-99-f669064.csv,21689491,0,0,0.615,0.75,1,1.0,4.0,17.0,4.0,17.0,4.25
1-1-99-f669064.csv,15777392,0,0,0.654,0.719,29,1.276,1.552,8.897,1.216,6.973,5.733
1-1-99-f669064.csv,29582088,0,0,0.746,0.802,3,1.0,1.333,6.667,1.333,6.667,5.0
1-1-99-f669064.csv,29686407,0,0,0.753,0.766,29,2.966,3.448,23.379,1.163,7.884,6.78
1-1-99-f669064.csv,16334880,0,0,0.718,0.768,30,1.0,1.167,6.833,1.167,6.833,5.857
1-1-99-f669064.csv,26360131,0,0,0.805,0.792,7,3.0,3.571,19.286,1.19,6.429,5.4
1-1-99-f669064.csv,21507445,0,0,0.73,0.765,29,1.448,1.586,11.034,1.095,7.619,6.957
1-1-99-f669064.csv,9466878,0,0,0.573,0.653,7,2.143,3.143,15.429,1.467,7.2,4.909
1-1-99-f669064.csv,24779993,0,0,0.736,0.801,3,1.333,1.667,13.0,1.25,9.75,7.8
1-1-99-f669064.csv,21785776,0,0,0.637,0.684,3,2.333,2.333,13.333,1.0,5.714,5.714
1-1-99-f669064.csv,28703583,0,0,0.781,0.771,30,1.467,1.7,9.667,1.159,6.591,5.686
