# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
(other),"868,786",1.22,13.75%,74.38%,00:01:08,0.01
wind,"50,152",2.45,34.82%,30.92%,00:03:54,0.03
explosion,"39,923",2.72,44.48%,24.42%,00:03:52,0.03
scream,"27,532",2.51,37.44%,28.68%,00:03:23,0.03
music,"24,899",3.06,40.48%,22.67%,00:03:36,0.06
rain,"23,251",2.35,44.09%,27.35%,00:03:58,0.04
footsteps,"22,656",2.70,28.95%,31.03%,00:04:07,0.01
thunder,"22,566",2.49,43.65%,25.81%,00:04:15,0.03
car,"22,421",2.51,27.83%,33.48%,00:03:19,0.02
birds,"21,639",2.12,35.79%,34.26%,00:03:27,0.03
fire,"21,202",2.27,31.98%,34.78%,00:03:27,0.02
punch,"20,685",2.58,40.02%,27.54%,00:03:58,0.03
beep,"20,154",2.60,44.71%,24.98%,00:03:09,0.04
water,"20,085",2.28,26.11%,36.75%,00:03:01,0.03
bell,"19,915",2.64,34.81%,28.43%,00:03:07,0.03
piano,"19,402",3.17,41.11%,22.21%,00:04:00,0.08
click,"18,312",2.41,36.27%,29.87%,00:03:14,0.03
door,"17,893",2.27,26.66%,35.89%,00:03:17,0.02
swoosh,"17,753",2.78,38.77%,25.72%,00:04:00,0.03
boom,"17,513",2.39,37.03%,29.95%,00:03:19,0.03
ding,"17,483",2.38,39.75%,30.09%,00:02:56,0.03
woosh,"17,082",2.76,38.61%,26.34%,00:04:10,0.03
crash,"16,766",2.16,21.59%,41.00%,00:02:22,0.02
whoosh,"16,240",2.98,39.58%,23.96%,00:04:17,0.03
hit,"15,904",2.29,20.24%,38.85%,00:02:20,0.02
crowd,"15,685",2.29,29.17%,35.60%,00:03:02,0.02
pop,"15,587",2.23,37.65%,32.21%,00:03:29,0.04
horror,"15,506",3.16,42.01%,21.81%,00:05:11,0.04
gun,"15,432",2.68,38.98%,25.96%,00:03:05,0.04
sex,"15,304",3.35,60.64%,15.11%,00:04:12,0.03
running,"14,298",2.43,26.09%,36.30%,00:03:49,0.02
